
Weather Data:
Gateway,Relative humidity,Radiation,Module temperature,Wind speed,Wind direction,Ambient temperature,PowerstationID,Time(GMT 1)
Weekly Report
Project Overview
Site Name:,XXX,Total Energy:,"3003.00kWh",Weekly electricity:,"10.00kWh"
System Size:,"3kWp",Time:,"Nov.19,2018/Nov.25,2018"

Summary
Inverter,"'110BCD0171231EF"
Inverter,Vpv1,Vpv2,Ipv1,Ipv2,Vac1,Vac2,Vac3,Iac1,Iac2,Iac3,Pac,Fac,Temperature(℃),Time(GMT +1),Today's Energy(kWh),Total Energy(kWh)
"'110B987CD123056","373.00","2.50","0.70","0.00","0.00","0.00","242.60","0.00","0.00","1.00","254.57249999999996","49.99","26.80","Nov.19 11:35,2018","0.50","2993.00"
"'110B987CD123056","377.00","2.50","0.80","0.00","0.00","0.00","240.20","0.00","0.00","1.20","294.06","49.98","26.90","Nov.19 11:40,2018","0.50","2993.00"
"'110B987CD123056","365.10","2.50","0.50","0.00","0.00","0.00","240.60","0.00","0.00","0.90","177.98625","49.98","27.00","Nov.19 11:45,2018","0.50","2993.00"
"'110B987CD123056","361.10","2.50","0.40","0.00","0.00","0.00","240.20","0.00","0.00","0.90","140.82900000000004","49.99","26.80","Nov.19 11:50,2018","0.50","2993.00"
"'110B987CD123056","360.90","2.50","0.50","0.00","0.00","0.00","239.30","0.00","0.00","1.00","175.93875","50.01","26.70","Nov.19 11:55,2018","0.50","2993.00"
"'110B987CD123056","367.00","2.50","0.60","0.00","0.00","0.00","241.90","0.00","0.00","0.90","214.695","49.96","26.80","Nov.19 12:00,2018","0.60","2993.00"
"'110B987CD123056","375.00","2.50","1.00","0.00","0.00","0.00","241.60","0.00","0.00","1.50","365.625","50.01","26.80","Nov.19 12:05,2018","0.60","2993.00"
"'110B987CD123056","374.90","2.50","1.00","0.00","0.00","0.00","242.90","0.00","0.00","1.40","365.5275","50.01","27.20","Nov.19 12:10,2018","0.60","2993.00"
"'110B987CD123056","379.10","2.50","1.00","0.00","0.00","0.00","240.20","0.00","0.00","1.40","369.6225","50.01","27.40","Nov.19 12:15,2018","0.70","2993.00"
"'110B987CD123056","374.90","2.50","1.00","0.00","0.00","0.00","239.60","0.00","0.00","1.50","365.5275","49.99","27.50","Nov.19 12:20,2018","0.70","2993.00"
